year,Groups_WC,Team,FIFA_Ranking
2022,A,Qatar,50
2022,A,Ecuador,44
2022,A,Senegal,18
2022,A,Netherlands,8
2022,B,England,5
2022,B,Iran,20
2022,B,United States,16
2022,B,Wales,19
2022,C,Argentina,3
2022,C,Saudi Arabia,51
2022,C,Mexico,13
2022,C,Poland,26
2022,D,France,4
2022,D,Australia,38
2022,D,Denmark,10
2022,D,Tunisia,30
2022,E,Spain,7
2022,E,Costa Rica,31
2022,E,Germany,11
2022,E,Japan,24
2022,F,Belgium,2
2022,F,Canada,41
2022,F,Morocco,22
2022,F,Croatia,12
2022,G,Brazil,1
2022,G,Serbia,21
2022,G,Switzerland,15
2022,G,Cameroon,43
2022,H,Portugal,9
2022,H,Ghana,61
2022,H,Uruguay,14
2022,H,South Korea,28
2018,D,Argentina,16
2018,C,Australia,25
2018,G,Belgium,3
2018,E,Brazil,5
2018,H,Columbia,10
2018,E,Costa Rica,30
2018,D,Croatia,2
2018,C,Denmark,13
2018,A,Egypt,31
2018,G,England,4
2018,C,France,1
2018,F,Germany,23
2018,D,Iceland,27
2018,B,Iran,19
2018,H,Japan,15
2018,F,Mexico,9
2018,B,Morroco,24
2018,D,Nigeria,22
2018,G,Panama,32
2018,C,Peru,21
2018,H,Poland,26
2018,B,Portugal,14
2018,A,Russia,7
2018,A,Saudi Arabia,29
2018,H,Senegal,17
2018,E,Serbia,18
2018,F,South Korea,20
2018,B,Spain,12
2018,F,Sweden,8
2018,E,Switzerland,11
2018,G,Tunisia,28
2018,A,Uruguay,6
2014,H,Algeria,12
2014,F,Argentina,2
2014,B,Australia,28
2014,H,Belgium,8
2014,F,Bosnia and Herzegovina,21
2014,A,Brazil,7
2014,A,Cameroon,31
2014,B,Chile,9
2014,C,Colombia,4
2014,D,Costa Rica,6
2014,A,Croatia,17
2014,E,Ecuador,20
2014,D,England,24
2014,E,France,5
2014,G,Germany,1
2014,G,Ghana,25
2014,C,Greece,15
2014,E,Honduras,32
2014,F,Iran,22
2014,D,Italy,23
2014,C,Ivory Coast,27
2014,C,Japan,30
2014,A,Mexico,10
2014,B,Netherlands,3
2014,F,Nigeria,13
2014,G,Portugal,19
2014,H,Russia,26
2014,H,South Korea,29
2014,B,Spain,18
2014,E,Switzerland,14
2014,D,Uruguay,16
2014,G,USA,11
