WC_year,ID,Team,WC_Group,Position,Player,Bdate,Age,Caps,Goals,WC_Goals,League,Club
2022,1,Ecuador,A,Goalkeeper,Hernán Galíndez,,35,12,0,0,Ecuador,Aucas
2022,2,Ecuador,A,Defender,Félix Torres,,25,17,2,0,Mexico,Santos Laguna
2022,3,Ecuador,A,Defender,Piero Hincapié,,20,21,1,0,Germany,Bayer Leverkusen
2022,4,Ecuador,A,Defender,Robert Arboleda,,31,33,2,0,Brazil,São Paulo
2022,5,Ecuador,A,Midfielder,José Cifuentes,,23,11,0,0,United States,Los Angeles FC
2022,6,Ecuador,A,Defender,William Pacho,,21,0,0,0,Belgium,Antwerp
2022,7,Ecuador,A,Defender,Pervis Estupiñán,,24,28,3,0,England,Brighton & Hove Albion
2022,8,Ecuador,A,Midfielder,Carlos Gruezo,,27,45,1,0,Germany,FC Augsburg
2022,9,Ecuador,A,Midfielder,Ayrton Preciado,,28,25,3,0,Mexico,Santos Laguna
2022,10,Ecuador,A,Midfielder,Romario Ibarra,,28,25,3,0,Mexico,Pachuca
2022,11,Ecuador,A,Forward,Michael Estrada,,26,35,8,0,Mexico,Cruz Azul
2022,12,Ecuador,A,Goalkeeper,Moisés Ramírez,,22,2,0,0,Ecuador,Independiente del Valle
2022,13,Ecuador,A,Forward,Enner Valencia (captain),,33,74,35,3,Turkey,Fenerbahçe
2022,14,Ecuador,A,Defender,Xavier Arreaga,,28,18,1,0,United States,Seattle Sounders FC
2022,15,Ecuador,A,Midfielder,Ángel Mena,,34,46,7,0,Mexico,León
2022,16,Ecuador,A,Midfielder,Jeremy Sarmiento,,20,9,0,0,England,Brighton & Hove Albion
2022,17,Ecuador,A,Defender,Ángelo Preciado,,24,25,0,0,Belgium,Genk
2022,18,Ecuador,A,Defender,Diego Palacios,,23,12,0,0,United States,Los Angeles FC
2022,19,Ecuador,A,Midfielder,Gonzalo Plata,,22,30,5,0,Spain,Valladolid
